# For clips which all frames are abnormal, skip the AUC evaluation of the clip and count when evaluating average AUC of the entire test set.
+----------+-------------+-------------+-------------+-------------+
| VIDEO-ID | AUROC-Recon | AUROC-FlowA | AUROC-FlowM | AUROC-Total |
| 05_0023  |    0.4730   |    0.5362   |    0.5478   |    0.5463   |
| 05_0024  |    0.9723   |    0.8624   |    0.9754   |    0.9404   |
| 06_0144  |    0.9817   |    0.9751   |    0.9698   |    0.9723   |
| 06_0145  |    0.5031   |    0.5738   |    0.5362   |    0.5557   |
| 06_0147  |    0.9610   |    0.9924   |    0.9861   |    0.9893   |
| 06_0150  |    0.8924   |    0.8798   |    0.8820   |    0.8812   |
| 06_0153  |    0.6273   |    0.5291   |    0.5805   |    0.5568   |
| 06_0155  |    0.7953   |    0.8567   |    0.8367   |    0.8440   |
| 07_0005  |    0.9077   |    0.8502   |    0.8835   |    0.8743   |
| 07_0006  |    0.8936   |    0.7660   |    0.7818   |    0.7743   |
| 07_0007  |    0.9333   |    0.8922   |    0.8957   |    0.8952   |
| 07_0008  |    0.4448   |    0.6214   |    0.6064   |    0.6163   |
| 07_0009  |    0.5543   |    0.5607   |    0.5925   |    0.5774   |
| 07_0047  |    0.9938   |    0.9009   |    0.9054   |    0.9049   |
| 07_0048  |    0.7870   |    0.6978   |    0.7041   |    0.7017   |
| 07_0049  |    0.8470   |    0.8555   |    0.8693   |    0.8637   |
| 08_0044  |    0.9334   |    0.9041   |    0.9231   |    0.9122   |
| 08_0058  |    0.7772   |    0.8082   |    0.7878   |    0.7965   |
| 08_0077  |    0.8665   |    0.8742   |    0.9010   |    0.8909   |
| 08_0078  |    0.7885   |    0.7660   |    0.7860   |    0.7932   |
| 08_0079  |    0.7793   |    0.6887   |    0.7110   |    0.6916   |
| 08_0080  |    0.5606   |    0.4350   |    0.3957   |    0.3550   |
| 08_0156  |    0.9081   |    0.9291   |    0.9259   |    0.9293   |
| 08_0157  |    0.9118   |    0.9322   |    0.9197   |    0.9278   |
| 08_0158  |    0.7920   |    0.8061   |    0.7815   |    0.7916   |
| 08_0159  |    0.7656   |    0.7576   |    0.7322   |    0.7456   |
| 08_0178  |    0.9725   |    0.9485   |    0.9517   |    0.9498   |
| 08_0179  |    0.5340   |    0.4790   |    0.5020   |    0.4952   |
| 09_0057  |    0.6952   |    0.6862   |    0.7201   |    0.7062   |
| 10_0037  |    0.9524   |    0.9229   |    0.8828   |    0.8978   |
| 10_0038  |    0.3043   |    0.1803   |    0.1580   |    0.1687   |
| 10_0042  |    0.1925   |    0.1916   |    0.1892   |    0.1885   |
| 10_0074  |    0.5545   |    0.5645   |    0.4853   |    0.5020   |
| 10_0075  |    0.8621   |    0.7742   |    0.7991   |    0.7915   |
| 11_0176  |    0.8552   |    0.8791   |    0.8681   |    0.8726   |
| 12_0142  |    0.4476   |    0.6781   |    0.7328   |    0.7470   |
| 12_0143  |    0.5990   |    0.5765   |    0.5886   |    0.5869   |
| 12_0148  |    0.8706   |    0.7728   |    0.9209   |    0.8364   |
| 12_0149  |    0.8933   |    0.8708   |    0.9687   |    0.9554   |
| 12_0151  |    0.8741   |    0.9176   |    0.9146   |    0.9634   |
| 12_0152  |    0.3580   |    0.4348   |    0.4529   |    0.4667   |
| 12_0154  |    0.6771   |    0.8444   |    0.9981   |    0.9539   |
| 12_0173  |    0.7580   |    0.5945   |    0.6619   |    0.6113   |
| 12_0174  |    0.4839   |    0.4786   |    0.8533   |    0.6814   |
| 12_0175  |    0.9867   |    0.9785   |    0.6972   |    0.9332   |
|   avg    |    0.7182   |    0.7252   |    0.7227   |    0.7297   |
+----------+-------------+-------------+-------------+-------------+
